character,audience_rating_range,audience_rating_std,most_liked_audience_cluster,least_liked_audience_cluster,character_bridge_index,audience_variance,attached_audience_cluster,attachment_strength
Darth Vader,2.5817888799355355,1.402283151933268,2,3,-1.5817888799355355,1.9663980381959005,2,4.294117647058823
Jar-Jar Binks,1.6063829787234043,0.8452626247876022,1,2,-0.6063829787234043,0.7144689048628267,1,3.5
Emperor Palpatine,1.5256021511528122,0.7886712797753391,1,3,-0.5256021511528122,0.6220023875424712,1,3.60352422907489
Boba Fett,1.1218409887474636,0.6231970343869748,2,3,-0.12184098874746363,0.38837454366872026,2,3.647482014388489
Padme Amidala,1.027063567362429,0.524089713837721,3,2,-0.027063567362429097,0.27467002815050423,3,4.148387096774194
C-3P0,0.6492311590416016,0.3246363155429552,3,1,0.35076884095839844,0.10538873736930518,3,4.755760368663594
Han Solo,0.6136997346054347,0.31851867673400386,2,1,0.3863002653945653,0.10145414742838085,2,4.932038834951456
Obi Wan Kenobi,0.5725081699346406,0.3269147060141537,2,1,0.4274918300653594,0.10687322500832053,2,4.839869281045751
Princess Leia Organa,0.49907235621521373,0.28792774437725027,2,1,0.5009276437847863,0.08290238598217119,2,4.733766233766234
R2-D2,0.4905212534905372,0.24537178202442478,3,1,0.5094787465094628,0.06020731141384182,3,4.831818181818182
Anakin Skywalker,0.47655416753503044,0.2390175728265536,1,2,0.5234458324649696,0.057129400119896846,1,4.014760147601476
Luke Skywalker,0.4461850693873082,0.25658819176708003,2,1,0.5538149306126918,0.06583750015429984,2,4.741100323624596
Yoda,0.40676486460747263,0.2048387036918698,3,1,0.5932351353925274,0.04195889453016563,3,4.86697247706422
Lando Calrissian,0.21728889671568163,0.11195451548334999,2,3,0.7827111032843184,0.012533813537111653,2,3.711191335740072
